repository,branch,download_link,name,date
https://pypi.org/project/catboost/,releases/1.2,https://archive.softwareheritage.org/api/1/vault/flat/swh:1:dir:607dd5b18797cdbccbcd733cf1f0a4cd22355552/raw/,1.2,2023-05-01T15:35:19+00:00
https://pypi.org/project/catboost/,releases/1.2.1,https://archive.softwareheritage.org/api/1/vault/flat/swh:1:dir:0a4e4774f5bea288c881b6a5916430b2fc2d7dab/raw/,1.2.1,2023-08-28T11:43:03+00:00
https://pypi.org/project/catboost/,releases/1.2.2,https://archive.softwareheritage.org/api/1/vault/flat/swh:1:dir:9572af6cb786ddd0343848bb26e22c65685bbe41/raw/,1.2.2,2023-09-19T18:16:55+00:00
https://pypi.org/project/gensim/,releases/0.10.0,https://archive.softwareheritage.org/api/1/vault/flat/swh:1:dir:3669398c6ba2fecea19f27571fa053607d9da04f/raw/,0.10.0,2014-06-04T13:38:29+00:00
https://pypi.org/project/gensim/,releases/0.10.1,https://archive.softwareheritage.org/api/1/vault/flat/swh:1:dir:afef4edb72c6d704707b3bad1dd263601b14c922/raw/,0.10.1,2014-07-22T12:09:41+00:00
https://pypi.org/project/gensim/,releases/0.10.2,https://archive.softwareheritage.org/api/1/vault/flat/swh:1:dir:4bd1781f85c4d6c9dcb58eee4129534769a9f0f6/raw/,0.10.2,2014-09-18T18:47:03+00:00
https://pypi.org/project/gensim/,releases/0.10.3,https://archive.softwareheritage.org/api/1/vault/flat/swh:1:dir:29052714df472ca6fe3febf1e58f4d794dcd0d35/raw/,0.10.3,2014-11-19T12:26:17+00:00
https://pypi.org/project/gensim/,releases/0.11.1,https://archive.softwareheritage.org/api/1/vault/flat/swh:1:dir:02a49ab39dff69bfcfdeebb86b459d930a26482b/raw/,0.11.1,2015-04-11T16:56:08+00:00
https://pypi.org/project/gensim/,releases/0.12.0,https://archive.softwareheritage.org/api/1/vault/flat/swh:1:dir:d76211342a686bd8e07fa334b4bb3ce6653a818a/raw/,0.12.0,2015-07-06T19:41:05+00:00
https://pypi.org/project/gensim/,releases/0.12.1,https://archive.softwareheritage.org/api/1/vault/flat/swh:1:dir:587601bab2f7afb4d0a2d8a5bd8bc5b700f9be33/raw/,0.12.1,2015-07-20T14:59:50+00:00
https://pypi.org/project/gensim/,releases/0.12.2,https://archive.softwareheritage.org/api/1/vault/flat/swh:1:dir:3a55cccdc3a37f5ced75a9214dbdccd792c1bfb9/raw/,0.12.2,2015-09-19T10:24:30+00:00
https://pypi.org/project/gensim/,releases/0.12.3,https://archive.softwareheritage.org/api/1/vault/flat/swh:1:dir:99646db0fdaf2a37ffd69293d999dbf8ec062be1/raw/,0.12.3,2015-11-06T15:25:29+00:00
https://pypi.org/project/gensim/,releases/0.12.4,https://archive.softwareheritage.org/api/1/vault/flat/swh:1:dir:f490780cabfeb8fefe68f80bb1873a2a9aa3c069/raw/,0.12.4,2016-01-31T11:38:07+00:00
https://pypi.org/project/gensim/,releases/0.13.0,https://archive.softwareheritage.org/api/1/vault/flat/swh:1:dir:298568a4a4940081478596406c521e83123347ee/raw/,0.13.0,2016-06-22T04:02:37+00:00
https://pypi.org/project/gensim/,releases/0.13.1,https://archive.softwareheritage.org/api/1/vault/flat/swh:1:dir:05aaa5ce098773d4b96ddc6f129663987be8884e/raw/,0.13.1,2016-06-24T04:08:57+00:00
https://pypi.org/project/gensim/,releases/0.13.2,https://archive.softwareheritage.org/api/1/vault/flat/swh:1:dir:6608421c94deac8e0c7583484c595ce7d0c91086/raw/,0.13.2,2016-08-26T15:39:32+00:00
https://pypi.org/project/gensim/,releases/0.13.3,https://archive.softwareheritage.org/api/1/vault/flat/swh:1:dir:b2afdc88e46f7a2f74a15c66e36769c6d1c5e6c8/raw/,0.13.3,2016-10-21T13:14:10+00:00
https://pypi.org/project/gensim/,releases/0.13.4,https://archive.softwareheritage.org/api/1/vault/flat/swh:1:dir:692b0848c7fbdb5049e83a1ff762eb07f6f5fed4/raw/,0.13.4,2016-12-25T12:42:05+00:00
https://pypi.org/project/gensim/,releases/0.2,https://archive.softwareheritage.org/api/1/vault/flat/swh:1:dir:9a58b634b21a8bf03f9121ad32ef9ad2306de763/raw/,0.2,2010-03-18T12:06:45+00:00
https://pypi.org/project/gensim/,releases/0.3.0,https://archive.softwareheritage.org/api/1/vault/flat/swh:1:dir:0c38ab63c51964be4cf5f43b6a5ee16c68918453/raw/,0.3.0,2010-03-18T17:21:15+00:00
https://pypi.org/project/gensim/,releases/0.4,https://archive.softwareheritage.org/api/1/vault/flat/swh:1:dir:3cd374a9e486fb9a96e8e36a4cafe8163ad71a45/raw/,0.4,2010-03-19T18:26:44+00:00
https://pypi.org/project/gensim/,releases/0.4.1,https://archive.softwareheritage.org/api/1/vault/flat/swh:1:dir:c788ccd46508b096b186458cb4566958564fea9c/raw/,0.4.1,2010-03-19T22:10:06+00:00
https://pypi.org/project/gensim/,releases/0.4.2,https://archive.softwareheritage.org/api/1/vault/flat/swh:1:dir:167b5afe17eeb3236af065a5db0e0c80cd5c7b90/raw/,0.4.2,2010-03-28T22:48:05+00:00
https://pypi.org/project/gensim/,releases/0.4.3,https://archive.softwareheritage.org/api/1/vault/flat/swh:1:dir:60aa746874c98f88135439fe396b1cd595dd7c62/raw/,0.4.3,2010-03-29T21:41:33+00:00
https://pypi.org/project/gensim/,releases/0.4.4,https://archive.softwareheritage.org/api/1/vault/flat/swh:1:dir:1fa254e3452002a599a7c1e02c9436f766d76f8a/raw/,0.4.4,2010-03-30T13:46:00+00:00
https://pypi.org/project/gensim/,releases/0.4.5,https://archive.softwareheritage.org/api/1/vault/flat/swh:1:dir:d6cba28dd292d9c63fe4366ca61b0d667800d2c2/raw/,0.4.5,2010-04-05T09:59:49+00:00
https://pypi.org/project/gensim/,releases/0.4.6,https://archive.softwareheritage.org/api/1/vault/flat/swh:1:dir:2f86f0a2bab96139a8fa07290b863ff43073e29a/raw/,0.4.6,2010-04-17T20:11:18+00:00
https://pypi.org/project/gensim/,releases/0.4.7,https://archive.softwareheritage.org/api/1/vault/flat/swh:1:dir:b6a649395a690ede9a0928439e9691e9d7e3c5eb/raw/,0.4.7,2010-04-27T21:46:56+00:00
https://pypi.org/project/gensim/,releases/0.5.0,https://archive.softwareheritage.org/api/1/vault/flat/swh:1:dir:facef1506b28b6a8459dcfb1dda9db819803acd0/raw/,0.5.0,2010-04-28T19:41:55+00:00
https://pypi.org/project/gensim/,releases/0.6.0,https://archive.softwareheritage.org/api/1/vault/flat/swh:1:dir:9d484908fdd8741447e3b23f41b576de06eb9549/raw/,0.6.0,2010-06-19T16:24:39+00:00
https://pypi.org/project/gensim/,releases/0.7.0,https://archive.softwareheritage.org/api/1/vault/flat/swh:1:dir:e056d1b278929e3f2bef270147cf0fed32a662d0/raw/,0.7.0,2010-08-28T02:47:19+00:00
https://pypi.org/project/gensim/,releases/0.7.1,https://archive.softwareheritage.org/api/1/vault/flat/swh:1:dir:9bbeb05ade65ad247a938fc46e43bd05d96915ea/raw/,0.7.1,2010-08-28T07:31:32+00:00
https://pypi.org/project/gensim/,releases/0.7.2,https://archive.softwareheritage.org/api/1/vault/flat/swh:1:dir:662ab3845d789968eaf548d0f274acf7b70a668f/raw/,0.7.2,2010-09-01T08:34:16+00:00
https://pypi.org/project/gensim/,releases/0.7.3,https://archive.softwareheritage.org/api/1/vault/flat/swh:1:dir:d44d025d054a77972420365f6fd99335cea637f5/raw/,0.7.3,2010-09-07T15:54:14+00:00
https://pypi.org/project/gensim/,releases/0.7.4,https://archive.softwareheritage.org/api/1/vault/flat/swh:1:dir:b385f08156c08dc598e3be45ff9e37be96ae2362/raw/,0.7.4,2010-09-13T18:40:11+00:00
https://pypi.org/project/gensim/,releases/0.7.5,https://archive.softwareheritage.org/api/1/vault/flat/swh:1:dir:2a4cc4b2f08dad1fe7257a677d7a2f42ae197556/raw/,0.7.5,2010-11-03T16:41:50+00:00
https://pypi.org/project/gensim/,releases/0.7.6,https://archive.softwareheritage.org/api/1/vault/flat/swh:1:dir:4207bd3e9a613cfb5740f91f34094a1568cb1efa/raw/,0.7.6,2011-01-10T16:19:38+00:00
https://pypi.org/project/gensim/,releases/0.7.7,https://archive.softwareheritage.org/api/1/vault/flat/swh:1:dir:f4f36f3a6c685dde470ad5f23c84694ff77332e5/raw/,0.7.7,2011-02-13T17:06:22+00:00
https://pypi.org/project/gensim/,releases/0.7.8,https://archive.softwareheritage.org/api/1/vault/flat/swh:1:dir:f6462d82395c6ab8722cb4a1a969d24dbb9bb410/raw/,0.7.8,2011-03-26T14:44:08+00:00
https://pypi.org/project/gensim/,releases/0.8.0,https://archive.softwareheritage.org/api/1/vault/flat/swh:1:dir:882310eb60dbfd907d817982c4bd043746b6297b/raw/,0.8.0,2011-06-28T21:36:38+00:00
https://pypi.org/project/gensim/,releases/0.8.1,https://archive.softwareheritage.org/api/1/vault/flat/swh:1:dir:0990df162348903a56c63c4cdf26b8740cd4be08/raw/,0.8.1,2011-10-10T13:55:02+00:00
https://pypi.org/project/gensim/,releases/0.8.2,https://archive.softwareheritage.org/api/1/vault/flat/swh:1:dir:b87df6ab625129fd09e94ab1e5aef8fc6e9dd9d4/raw/,0.8.2,2011-10-31T00:54:34+00:00
https://pypi.org/project/gensim/,releases/0.8.3,https://archive.softwareheritage.org/api/1/vault/flat/swh:1:dir:9cf0d3b96222acea2d7fa3963376009dd85db206/raw/,0.8.3,2011-12-02T07:06:02+00:00
https://pypi.org/project/gensim/,releases/0.8.4,https://archive.softwareheritage.org/api/1/vault/flat/swh:1:dir:a99456e03c6248347ec2c1cd1c401cdb206ff1d7/raw/,0.8.4,2012-03-09T12:27:41+00:00
https://pypi.org/project/gensim/,releases/0.8.5,https://archive.softwareheritage.org/api/1/vault/flat/swh:1:dir:703e376d9950015152b6c44a1ac9dcf5f328d4ce/raw/,0.8.5,2012-07-22T14:07:56+00:00
